timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710372637755,430,/v2/api/employees/-658,200,OK,Thread Group 1-1,text,true,,69904,850,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?items_per_page=1000&activated=true,358,0,0
1710372638185,46,/__debug__/history_sidebar/-659,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=53e787b4a42343ee9d344f8fcc196405,46,0,0
1710372638232,45,/__debug__/history_sidebar/-660,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=d115e9467939496d8d2c8687ba0c56fc,45,0,0
1710372638278,44,/__debug__/history_sidebar/-661,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=f7bf952936db493cb1964ffe10de199f,44,0,0
1710372638323,48,/__debug__/history_sidebar/-662,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=4a045442334d4aabbf83ca72a7d9df6f,48,0,0
1710372638371,46,/__debug__/history_sidebar/-663,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=43e1a790aa624b39886939526720b90d,46,0,0
1710372638417,287,/v2/api/attendance/-664,200,OK,Thread Group 1-1,text,true,,1011,946,1,1,https://mechlintech.stage.clocksession.com/v2/api/attendance/?items_per_page=10&page=1&report_type=daily&user=fa7b100d-aaf5-4fc6-ad60-2eedf31536cf&date_after=2024-03-13&date_before=2024-03-13,287,0,0
1710372638705,57,/__debug__/history_sidebar/-665,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=4bc8ea701ada4e93afda7ada02b62f0e,57,0,0
1710372638763,78,/images/icons/dashboard-active.png-666,200,OK,Thread Group 1-1,bin,true,,1437,743,1,1,https://mechlintech.stage.clocksession.com/images/icons/dashboard-active.png,78,0,0
1710372638842,45,/__debug__/history_sidebar/-667,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=12c2bc46a74845918901b8387043bc52,45,0,0
1710372638887,82,/images/icons/resource-management.png-668,200,OK,Thread Group 1-1,bin,true,,1400,746,1,1,https://mechlintech.stage.clocksession.com/images/icons/resource-management.png,82,0,0
1710372638970,78,/images/icons/ei_calendar.png-669,200,OK,Thread Group 1-1,bin,true,,1445,738,1,1,https://mechlintech.stage.clocksession.com/images/icons/ei_calendar.png,78,0,0
1710372639048,56,/__debug__/history_sidebar/-670,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=0b2c74dc3d344e45b7bd9d73d495fdd3,56,0,0
1710372639105,43,/generate_204-671,204,No Content,Thread Group 1-1,,true,,127,397,1,1,http://www.gstatic.com/generate_204,0,0,26
1710372631632,7493,Step 7 - Logout,200,"Number of samples in transaction : 42, number of failing samples : 0",Thread Group 1-1,,true,,198763,32954,1,1,null,7305,23,26
1710372639171,2,Debug Sampler,200,OK,Thread Group 1-1,text,true,,690,0,1,1,null,0,0,0
